type,sharpening,windowSize,neighbourhood,buckets,histnormalise,k-nearest,auc,precision,recall
moran,direct,3,euclidean,30,none,5,0.5723684210526316,0.4666666666666667,0.25
moran,direct,3,euclidean,30,none,6,0.5780075187969924,0.46875,0.26785714285714285
moran,direct,3,euclidean,60,none,2,0.6301691729323309,0.45614035087719296,0.4642857142857143
moran,direct,3,euclidean,60,none,3,0.599624060150376,0.45454545454545453,0.35714285714285715
moran,direct,3,euclidean,60,none,4,0.5972744360902256,0.4634146341463415,0.3392857142857143
moran,direct,3,euclidean,60,none,5,0.5592105263157895,0.4117647058823529,0.25
moran,direct,3,euclidean,60,none,6,0.5502819548872181,0.3939393939393939,0.23214285714285715
moran,direct,3,euclidean,90,none,2,0.5803571428571428,0.3770491803278688,0.4107142857142857
moran,direct,3,euclidean,90,none,3,0.5794172932330828,0.4358974358974359,0.30357142857142855
moran,direct,3,euclidean,90,none,4,0.5761278195488722,0.425,0.30357142857142855
moran,direct,3,euclidean,90,none,5,0.5479323308270676,0.4,0.21428571428571427
moran,direct,3,euclidean,90,none,6,0.538063909774436,0.36363636363636365,0.21428571428571427
moran,direct,3,euclidean,120,none,2,0.5554511278195489,0.36,0.32142857142857145
moran,direct,3,euclidean,120,none,3,0.5639097744360901,0.4,0.2857142857142857
moran,direct,3,euclidean,120,none,4,0.5573308270676691,0.38095238095238093,0.2857142857142857
moran,direct,3,euclidean,120,none,5,0.5625,0.42424242424242425,0.25
moran,direct,3,euclidean,120,none,6,0.5413533834586466,0.375,0.21428571428571427
moran,direct,3,euclidean,150,none,2,0.6080827067669173,0.4166666666666667,0.44642857142857145
moran,direct,3,euclidean,150,none,3,0.5728383458646616,0.4146341463414634,0.30357142857142855
moran,direct,3,euclidean,150,none,4,0.5695488721804511,0.40476190476190477,0.30357142857142855
moran,direct,3,euclidean,150,none,5,0.5469924812030076,0.38235294117647056,0.23214285714285715
moran,direct,3,euclidean,150,none,6,0.538063909774436,0.36363636363636365,0.21428571428571427
moran,direct,3,euclidean,30,row,2,0.5657894736842105,0.3620689655172414,0.375
moran,direct,3,euclidean,30,row,3,0.6193609022556391,0.5263157894736842,0.35714285714285715
moran,direct,3,euclidean,30,row,4,0.5925751879699248,0.4857142857142857,0.30357142857142855
moran,direct,3,euclidean,30,row,5,0.5822368421052632,0.5185185185185185,0.25
moran,direct,3,euclidean,30,row,6,0.5521616541353384,0.44,0.19642857142857142
moran,direct,3,euclidean,60,row,2,0.5798872180451128,0.4,0.35714285714285715
moran,direct,3,euclidean,60,row,3,0.5963345864661654,0.4444444444444444,0.35714285714285715
moran,direct,3,euclidean,60,row,4,0.5850563909774436,0.43902439024390244,0.32142857142857145
moran,direct,3,euclidean,60,row,5,0.5535714285714286,0.40625,0.23214285714285715
moran,direct,3,euclidean,60,row,6,0.569078947368421,0.45161290322580644,0.25
moran,direct,3,euclidean,90,row,2,0.5803571428571428,0.3770491803278688,0.4107142857142857
moran,direct,3,euclidean,90,row,3,0.5827067669172933,0.4473684210526316,0.30357142857142855
moran,direct,3,euclidean,90,row,4,0.5794172932330828,0.4358974358974359,0.30357142857142855
moran,direct,3,euclidean,90,row,5,0.5479323308270676,0.4,0.21428571428571427
moran,direct,3,euclidean,90,row,6,0.5390037593984962,0.3793103448275862,0.19642857142857142
moran,direct,3,euclidean,120,row,2,0.5822368421052632,0.39622641509433965,0.375
moran,direct,3,euclidean,120,row,3,0.5582706766917293,0.39473684210526316,0.26785714285714285
moran,direct,3,euclidean,120,row,4,0.5770676691729323,0.4444444444444444,0.2857142857142857
moran,direct,3,euclidean,120,row,5,0.5512218045112782,0.41379310344827586,0.21428571428571427
moran,direct,3,euclidean,120,row,6,0.5601503759398497,0.43333333333333335,0.23214285714285715
moran,direct,3,euclidean,150,row,2,0.5968045112781954,0.4107142857142857,0.4107142857142857
moran,direct,3,euclidean,150,row,3,0.5718984962406015,0.4,0.32142857142857145
moran,direct,3,euclidean,150,row,4,0.581766917293233,0.42857142857142855,0.32142857142857145
moran,direct,3,euclidean,150,row,5,0.5324248120300752,0.3548387096774194,0.19642857142857142
moran,direct,3,euclidean,150,row,6,0.5568609022556391,0.41935483870967744,0.23214285714285715
moran,direct,5,grid,30,none,2,0.5474624060150375,0.35555555555555557,0.2857142857142857
moran,direct,5,grid,30,none,3,0.5070488721804511,0.2857142857142857,0.17857142857142858
moran,direct,5,grid,30,none,4,0.5079887218045113,0.2903225806451613,0.16071428571428573
moran,direct,5,grid,30,none,5,0.5197368421052632,0.35,0.125
moran,direct,5,grid,30,none,6,0.5230263157894737,0.3684210526315789,0.125
moran,direct,5,grid,60,none,2,0.5775375939849624,0.40425531914893614,0.3392857142857143
moran,direct,5,grid,60,none,3,0.5756578947368421,0.4827586206896552,0.25
moran,direct,5,grid,60,none,4,0.5944548872180451,0.5555555555555556,0.26785714285714285
moran,direct,5,grid,60,none,5,0.5375939849624061,0.4090909090909091,0.16071428571428573
moran,direct,5,grid,60,none,6,0.5540413533834587,0.5294117647058824,0.16071428571428573
moran,direct,5,grid,90,none,2,0.5798872180451128,0.4,0.35714285714285715
moran,direct,5,grid,90,none,3,0.5935150375939849,0.5161290322580645,0.2857142857142857
moran,direct,5,grid,90,none,4,0.5902255639097744,0.5,0.2857142857142857
moran,direct,5,grid,90,none,5,0.5610902255639098,0.46153846153846156,0.21428571428571427
moran,direct,5,grid,90,none,6,0.549812030075188,0.45454545454545453,0.17857142857142858
